U.S. Imports of Crude Oil and Petroleum Products Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WTTIMUS2.W,
09:48:24 GMT-0800 (Pacific Standard Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WTTIMUS2.W Thousand Barrels per Day
5/21/1999,10591
5/28/1999,11414
6/4/1999,9927
6/11/1999,10412
6/18/1999,11280
6/25/1999,10341
7/2/1999,11219
7/9/1999,10075
7/16/1999,10919
7/23/1999,11547
7/30/1999,11364
8/6/1999,10396
8/13/1999,10432
8/20/1999,10838
8/27/1999,11219
9/3/1999,10162
9/10/1999,10000
9/17/1999,10819
9/24/1999,10514
10/1/1999,10860
10/8/1999,9925
10/15/1999,11081
10/22/1999,10008
10/29/1999,10742
11/5/1999,9913
11/12/1999,10297
11/19/1999,9777
11/26/1999,9412
12/3/1999,10303
12/10/1999,9196
12/17/1999,9696
12/24/1999,10081
12/31/1999,10030
1/7/2000,10306
1/14/2000,9229
1/21/2000,10558
1/28/2000,9457
2/4/2000,10279
2/11/2000,10242
2/18/2000,10711
2/25/2000,10220
3/3/2000,10664
3/10/2000,10160
3/17/2000,10755
3/24/2000,10150
3/31/2000,11113
4/7/2000,10799
4/14/2000,11006
4/21/2000,11515
4/28/2000,11117
5/5/2000,11330
5/12/2000,10517
5/19/2000,11933
5/26/2000,10717
6/2/2000,11048
6/9/2000,10892
6/16/2000,11283
6/23/2000,11777
6/30/2000,10876
7/7/2000,11599
7/14/2000,11068
7/21/2000,11766
7/28/2000,10883
8/4/2000,11679
8/11/2000,11582
8/18/2000,11239
8/25/2000,11043
9/1/2000,11583
9/8/2000,11531
9/15/2000,10823
9/22/2000,11795
9/29/2000,11166
10/6/2000,11194
10/13/2000,10959
10/20/2000,12098
10/27/2000,11218
11/3/2000,11907
11/10/2000,10975
11/17/2000,10592
11/24/2000,9998
12/1/2000,10980
12/8/2000,10912
12/15/2000,12405
12/22/2000,10280
12/29/2000,11442
1/5/2001,12962
1/12/2001,11345
1/19/2001,10365
1/26/2001,11859
2/2/2001,12277
2/9/2001,11558
2/16/2001,10204
2/23/2001,11808
3/2/2001,11754
3/9/2001,12854
3/16/2001,11253
3/23/2001,12145
3/30/2001,11370
4/6/2001,11479
4/13/2001,11907
4/20/2001,11580
4/27/2001,12908
5/4/2001,12316
5/11/2001,11204
5/18/2001,12676
5/25/2001,11326
6/1/2001,11831
6/8/2001,10764
6/15/2001,10998
6/22/2001,11419
6/29/2001,11825
7/6/2001,10857
7/13/2001,12094
7/20/2001,11993
7/27/2001,11285
8/3/2001,11134
8/10/2001,10278
8/17/2001,10972
8/24/2001,11468
8/31/2001,10502
9/7/2001,11261
9/14/2001,10579
9/21/2001,11053
