U.S. Total Gasoline All Sales per Deliveries by Prime Supplier Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.C100000001.M
09:50:29 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.C100000001.M Thousand Gallons per Day
Dec 1993,328422.6
Nov 1993,325399.9
Oct 1993,322287.8
Sep 1993,326018.2
Aug 1993,334404.4
Jul 1993,336371.2
Jun 1993,335721.3
May 1993,323118.8
Apr 1993,324876.6
Mar 1993,314819.7
Feb 1993,311617.3
Jan 1993,292206.7
Dec 1992,332800.2
Nov 1992,321867.3
Oct 1992,333957.2
Sep 1992,327672.8
Aug 1992,330858.3
Jul 1992,340888.3
Jun 1992,338291.5
May 1992,334208.8
Apr 1992,337042.7
Mar 1992,323606.2
Feb 1992,316640.6
Jan 1992,309436.2
Dec 1991,323425.5
Nov 1991,320431.8
Oct 1991,328589.1
Sep 1991,322272.8
Aug 1991,345090.4
Jul 1991,346159.8
Jun 1991,339167.2
May 1991,345390
Apr 1991,342071.5
Mar 1991,324396.1
Feb 1991,315892.6
Jan 1991,308274.1
Dec 1990,321256.5
Nov 1990,332440.5
Oct 1990,331873.4
Sep 1990,329230.6
Aug 1990,361497.7
Jul 1990,352120.4
Jun 1990,356128.7
May 1990,348291.4
Apr 1990,332826.3
Mar 1990,335280.4
Feb 1990,322955
Jan 1990,304916.8
Dec 1989,337236.5
Nov 1989,332290.2
Oct 1989,331325.1
Sep 1989,333118.2
Aug 1989,347409.9
Jul 1989,335303.5
Jun 1989,349145.9
May 1989,337184
Apr 1989,323919.2
Mar 1989,337503.4
Feb 1989,313726.9
Jan 1989,303925.3
Dec 1988,335040.2
Nov 1988,328227.4
Oct 1988,327800.3
Sep 1988,331812.7
Aug 1988,348466.4
Jul 1988,343320.7
Jun 1988,353648.2
May 1988,329060.3
Apr 1988,330756.8
Mar 1988,327317.6
Feb 1988,309956.9
Jan 1988,291383.5
Dec 1987,321340.8
Nov 1987,305738.1
Oct 1987,322207.5
Sep 1987,321780.2
Aug 1987,323785.7
Jul 1987,339954.6
Jun 1987,335228.8
May 1987,322449.9
Apr 1987,320244.4
Mar 1987,312171.5
Feb 1987,295464.7
Jan 1987,288578.5
Dec 1986,323647.8
Nov 1986,305777.2
Oct 1986,324726.4
Sep 1986,309861.4
Aug 1986,330274.1
Jul 1986,328108.1
Jun 1986,322838.8
May 1986,332225.2
Apr 1986,320484.8
Mar 1986,305346.8
Feb 1986,286128.1
Jan 1986,281734.1
Dec 1985,309690.2
Nov 1985,308707.3
Oct 1985,320287.5
Sep 1985,301929.8
Aug 1985,320373.3
Jul 1985,321709.3
Jun 1985,311279.5
May 1985,318817.3
Apr 1985,316665.7
Mar 1985,303912.8
Feb 1985,298124.4
Jan 1985,282919
Dec 1984,290740.9
Nov 1984,299797.7
Oct 1984,299499.7
Sep 1984,283966.1
Aug 1984,314533.6
Jul 1984,295443.5
Jun 1984,299896.7
May 1984,298240.8
Apr 1984,286842.7
Mar 1984,291849.6
Feb 1984,279630
Jan 1984,272775.5
Dec 1983,290638.5
Nov 1983,284509.6
Oct 1983,279682.8
Sep 1983,290911.7
Aug 1983,304307.1
Jul 1983,290507.3
Jun 1983,309199.3
May 1983,286608.4
Apr 1983,289966.9
Mar 1983,300458.2
Feb 1983,258959.7
Jan 1983,257881.5
